t,global_x,global_y
0.00,-2.0,0
0.01,-1.009,0
0.02,-0.953,0
0.03,-0.898,0
0.04,-0.842,0
0.05,-0.787,0
0.06,-0.731,0
0.07,-0.676,0
0.08,-0.62,0
0.09,-0.565,0
0.1,-0.509,0
0.11,-0.454,0
0.12,-0.399,0
0.13,-0.343,0
0.14,-0.288,0
0.15,-0.233,0
0.16,-0.177,0
0.17,-0.122,0
0.18,-0.067,0
0.19,-0.012,0
0.2,0.043,0
0.21,0.098,0
0.22,0.153,0
0.23,0.207,0
0.24,0.262,0
0.25,0.317,0
0.26,0.372,0
0.27,0.428,0
0.28,0.483,0
0.29,0.539,0
0.3,0.594,0
0.31,0.651,0
0.32,0.707,0
0.33,0.764,0
0.34,0.82,0
0.35,0.877,0
0.36,0.934,0
0.37,0.992,0
0.38,1.049,0
0.39,1.107,0
0.4,1.165,0
0.41,1.223,0
0.42,1.281,0
0.43,1.339,0
0.44,1.397,0
0.45,1.455,0
0.46,1.513,0
0.47,1.571,0
0.48,1.629,0
0.49,1.687,0
0.5,1.745,0
0.51,1.803,0
0.52,1.86,0
0.53,1.918,0
0.54,1.976,0
0.55,2.033,0
0.56,2.091,0
0.57,2.148,0
0.58,2.206,0
0.59,2.263,0
0.6,2.32,0
0.61,2.377,0
0.62,2.433,0
0.63,2.49,0
0.64,2.547,0
0.65,2.603,0
0.66,2.659,0
0.67,2.716,0
0.68,2.772,0
0.69,2.828,0
0.7,2.884,0
0.71,2.939,0
0.72,2.995,0
0.73,3.051,0
0.74,3.106,0
0.75,3.162,0
0.76,3.217,0
0.77,3.272,0
0.78,3.328,0
0.79,3.383,0
0.8,3.438,0
0.81,3.493,0
0.82,3.548,0
0.83,3.602,0
0.84,3.657,0
0.85,3.712,0
0.86,3.768,0
0.87,3.823,0
0.88,3.878,0
0.89,3.934,0
0.9,3.99,0
0.91,4.046,0
0.92,4.103,0
0.93,4.16,0
0.94,4.217,0
0.95,4.274,0
0.96,4.331,0
0.97,4.389,0
0.98,4.447,0
0.99,4.505,0
1,4.563,0
1.01,4.622,0
1.02,4.68,0
1.03,4.739,0
1.04,4.797,0
1.05,4.856,0
1.06,4.915,0
1.07,4.973,0
1.08,5.032,0
1.09,5.09,0
1.1,5.149,0
1.11,5.208,0
1.12,5.266,0
1.13,5.324,0
1.14,5.383,0
1.15,5.441,0
1.16,5.499,0
1.17,5.557,0
1.18,5.615,0
1.19,5.673,0
1.2,5.73,0
1.21,5.788,0
1.22,5.845,0
1.23,5.902,0
1.24,5.959,0
1.25,6.016,0
1.26,6.073,0
1.27,6.13,0
1.28,6.187,0
1.29,6.243,0
1.3,6.3,0
1.31,6.356,0
1.32,6.412,0
1.33,6.468,0
1.34,6.524,0
1.35,6.58,0
1.36,6.636,0
1.37,6.692,0
1.38,6.747,0
1.39,6.803,0
1.4,6.858,0
1.41,6.914,0
1.42,6.969,0
1.43,7.024,0
1.44,7.08,0
1.45,7.135,0
1.46,7.19,0
1.47,7.245,0
1.48,7.3,0
1.49,7.355,0
1.5,7.41,0
1.51,7.466,0
1.52,7.521,0
1.53,7.577,0
1.54,7.633,0
1.55,7.689,0
1.56,7.745,0
1.57,7.801,0
1.58,7.858,0
1.59,7.915,0
1.6,7.972,0
1.61,8.029,0
1.62,8.087,0
1.63,8.144,0
1.64,8.202,0
1.65,8.26,0
1.66,8.318,0
1.67,8.376,0
1.68,8.434,0
1.69,8.492,0
1.7,8.55,0
1.71,8.608,0
1.72,8.667,0
1.73,8.725,0
1.74,8.783,0
1.75,8.841,0
1.76,8.899,0
1.77,8.957,0
1.78,9.015,0
1.79,9.072,0
1.8,9.13,0
1.81,9.187,0
1.82,9.245,0
1.83,9.302,0
1.84,9.36,0
1.85,9.417,0
1.86,9.474,0
1.87,9.531,0
1.88,9.587,0
1.89,9.644,0
1.9,9.701,0
1.91,9.757,0
1.92,9.813,0
1.93,9.87,0
1.94,9.926,0.001
1.95,9.982,0.001
1.96,10.038,0.001
1.97,10.094,0.002
1.98,10.149,0.002
1.99,10.205,0.003
2,10.26,0.003
2.01,10.316,0.004
2.02,10.371,0.004
2.03,10.427,0.004
2.04,10.482,0.005
2.05,10.537,0.005
2.06,10.592,0.006
2.07,10.647,0.006
2.08,10.702,0.006
2.09,10.758,0.006
2.1,10.813,0.006
2.11,10.869,0.006
2.12,10.925,0.006
2.13,10.981,0.005
2.14,11.038,0.005
2.15,11.095,0.005
2.16,11.152,0.004
2.17,11.209,0.003
2.18,11.267,0.003
2.19,11.325,0.002
2.2,11.383,0.001
2.21,11.441,0
2.22,11.5,-0.001
2.23,11.559,-0.002
2.24,11.618,-0.003
2.25,11.677,-0.004
2.26,11.736,-0.005
2.27,11.795,-0.006
2.28,11.854,-0.007
2.29,11.914,-0.008
2.3,11.973,-0.009
2.31,12.032,-0.01
2.32,12.092,-0.011
2.33,12.151,-0.012
2.34,12.21,-0.013
2.35,12.269,-0.014
2.36,12.328,-0.015
2.37,12.387,-0.015
2.38,12.446,-0.016
2.39,12.505,-0.017
2.4,12.563,-0.017
2.41,12.622,-0.018
2.42,12.68,-0.018
2.43,12.739,-0.019
2.44,12.797,-0.019
2.45,12.855,-0.019
2.46,12.913,-0.02
2.47,12.97,-0.02
2.48,13.028,-0.02
2.49,13.086,-0.021
2.5,13.143,-0.021
2.51,13.2,-0.021
2.52,13.257,-0.022
2.53,13.314,-0.022
2.54,13.371,-0.022
2.55,13.428,-0.023
2.56,13.485,-0.023
2.57,13.541,-0.024
2.58,13.598,-0.024
2.59,13.654,-0.025
2.6,13.71,-0.025
2.61,13.766,-0.026
2.62,13.822,-0.026
2.63,13.879,-0.027
2.64,13.934,-0.028
2.65,13.99,-0.028
2.66,14.046,-0.029
2.67,14.102,-0.03
2.68,14.158,-0.03
2.69,14.213,-0.031
2.7,14.269,-0.032
2.71,14.325,-0.033
2.72,14.38,-0.033
2.73,14.435,-0.034
2.74,14.491,-0.035
2.75,14.546,-0.036
2.76,14.602,-0.036
2.77,14.657,-0.037
2.78,14.712,-0.038
2.79,14.767,-0.038
2.8,14.823,-0.039
2.81,14.878,-0.04
2.82,14.934,-0.04
2.83,14.989,-0.041
2.84,15.045,-0.041
2.85,15.101,-0.042
2.86,15.158,-0.042
2.87,15.214,-0.042
2.88,15.271,-0.042
2.89,15.328,-0.042
2.9,15.384,-0.041
2.91,15.442,-0.041
2.92,15.499,-0.04
2.93,15.556,-0.038
2.94,15.614,-0.036
2.95,15.671,-0.034
2.96,15.729,-0.032
2.97,15.786,-0.03
2.98,15.844,-0.027
2.99,15.901,-0.023
3,15.959,-0.02
3.01,16.016,-0.016
3.02,16.073,-0.012
3.03,16.131,-0.007
3.04,16.188,-0.002
3.05,16.245,0.003
3.06,16.302,0.008
3.07,16.359,0.014
3.08,16.416,0.02
3.09,16.473,0.026
3.1,16.53,0.033
3.11,16.586,0.04
3.12,16.643,0.047
3.13,16.699,0.054
3.14,16.755,0.061
3.15,16.811,0.069
3.16,16.867,0.077
3.17,16.923,0.084
3.18,16.979,0.092
3.19,17.034,0.101
3.2,17.09,0.109
3.21,17.145,0.117
3.22,17.2,0.126
3.23,17.255,0.134
3.24,17.31,0.143
3.25,17.365,0.152
3.26,17.42,0.161
3.27,17.475,0.17
3.28,17.529,0.179
3.29,17.583,0.188
3.3,17.638,0.197
3.31,17.692,0.207
3.32,17.746,0.217
3.33,17.801,0.227
3.34,17.855,0.237
3.35,17.91,0.247
3.36,17.965,0.257
3.37,18.021,0.268
3.38,18.076,0.279
3.39,18.132,0.291
3.4,18.188,0.302
3.41,18.244,0.314
3.42,18.301,0.326
3.43,18.357,0.339
3.44,18.414,0.352
3.45,18.471,0.365
3.46,18.528,0.378
3.47,18.586,0.392
3.48,18.643,0.407
3.49,18.7,0.421
3.5,18.758,0.436
3.51,18.815,0.451
3.52,18.872,0.467
3.53,18.93,0.482
3.54,18.987,0.498
3.55,19.044,0.515
3.56,19.101,0.531
3.57,19.158,0.548
3.58,19.215,0.566
3.59,19.271,0.583
3.6,19.328,0.601
3.61,19.384,0.619
3.62,19.44,0.637
3.63,19.496,0.655
3.64,19.552,0.674
3.65,19.607,0.692
3.66,19.663,0.711
3.67,19.718,0.73
3.68,19.773,0.749
3.69,19.828,0.768
3.7,19.883,0.788
3.71,19.937,0.807
3.72,19.991,0.827
3.73,20.045,0.847
3.74,20.099,0.866
3.75,20.153,0.886
3.76,20.207,0.906
3.77,20.26,0.926
3.78,20.313,0.947
3.79,20.367,0.967
3.8,20.419,0.987
3.81,20.472,1.008
3.82,20.525,1.029
3.83,20.577,1.049
3.84,20.63,1.07
3.85,20.682,1.091
3.86,20.734,1.113
3.87,20.786,1.134
3.88,20.838,1.155
3.89,20.889,1.177
3.9,20.941,1.199
3.91,20.992,1.221
3.92,21.043,1.243
3.93,21.094,1.265
3.94,21.145,1.287
3.95,21.196,1.31
3.96,21.247,1.333
3.97,21.297,1.356
3.98,21.348,1.379
3.99,21.398,1.402
4,21.448,1.425
4.01,21.498,1.449
4.02,21.548,1.473
4.03,21.598,1.497
4.04,21.647,1.521
4.05,21.697,1.545
4.06,21.747,1.57
4.07,21.797,1.595
4.08,21.847,1.621
4.09,21.897,1.646
4.1,21.947,1.672
4.11,21.997,1.698
4.12,22.047,1.725
4.13,22.098,1.752
4.14,22.148,1.779
4.15,22.198,1.806
4.16,22.249,1.834
4.17,22.299,1.861
4.18,22.35,1.89
4.19,22.4,1.918
4.2,22.451,1.947
4.21,22.501,1.976
4.22,22.551,2.005
4.23,22.601,2.034
4.24,22.652,2.064
4.25,22.701,2.093
4.26,22.751,2.123
4.27,22.801,2.153
4.28,22.85,2.184
4.29,22.9,2.214
4.3,22.949,2.245
